participant_number;condition;session;epoch;task;difference;participant
1;high;1;1;mixed;31.04166667;1
1;high;1;2;mixed;27.29166667;1
1;high;1;3;mixed;12.29166667;1
1;high;1;4;mixed;6.041666667;1
1;high;1;5;mixed;1.041666667;1
1;high;1;6;mixed;4.791666667;1
1;high;2;1;mixed;2.1875;1
1;high;2;2;mixed;2.1875;1
1;high;2;3;mixed;4.6875;1
1;high;2;4;mixed;-1.5625;1
1;high;2;5;mixed;7.1875;1
1;high;2;6;mixed;-2.8125;1
1;low;1;1;mixed;37.29166667;1
1;low;1;2;mixed;52.29166667;1
1;low;1;3;mixed;27.29166667;1
1;low;1;4;mixed;7.291666667;1
1;low;1;5;mixed;2.291666667;1
1;low;1;6;mixed;-5.208333333;1
1;low;2;1;mixed;-0.3125;1
1;low;2;2;mixed;7.1875;1
1;low;2;3;mixed;4.6875;1
1;low;2;4;mixed;2.1875;1
1;low;2;5;mixed;-0.3125;1
1;low;2;6;mixed;4.6875;1
2;high;1;1;mixed;33.50694444;2
2;high;1;2;mixed;41.00694444;2
2;high;1;3;mixed;26.00694444;2
2;high;1;4;mixed;13.50694444;2
2;high;1;5;mixed;-0.243055556;2
2;high;1;6;mixed;-0.243055556;2
2;high;2;1;mixed;22.01388889;2
2;high;2;2;mixed;4.513888889;2
2;high;2;3;mixed;0.763888889;2
2;high;2;4;mixed;0.763888889;2
2;high;2;5;mixed;-1.736111111;2
2;high;2;6;mixed;-1.736111111;2
2;low;1;1;mixed;43.50694444;2
2;low;1;2;mixed;38.50694444;2
2;low;1;3;mixed;41.00694444;2
2;low;1;4;mixed;33.50694444;2
2;low;1;5;mixed;11.00694444;2
2;low;1;6;mixed;28.50694444;2
2;low;2;1;mixed;23.26388889;2
2;low;2;2;mixed;13.26388889;2
2;low;2;3;mixed;5.763888889;2
2;low;2;4;mixed;23.26388889;2
2;low;2;5;mixed;10.76388889;2
2;low;2;6;mixed;-4.236111111;2
5;high;1;1;mixed;1.979166667;3
5;high;1;2;mixed;1.979166667;3
5;high;1;3;mixed;6.979166667;3
5;high;1;4;mixed;1.979166667;3
5;high;1;5;mixed;0.729166667;3
5;high;1;6;mixed;1.979166667;3
5;high;2;1;mixed;-3.125;3
5;high;2;2;mixed;-9.375;3
5;high;2;3;mixed;-3.125;3
5;high;2;4;mixed;-5.625;3
5;high;2;5;mixed;-5.625;3
5;high;2;6;mixed;-4.375;3
5;low;1;1;mixed;19.47916667;3
5;low;1;2;mixed;11.97916667;3
5;low;1;3;mixed;6.979166667;3
5;low;1;4;mixed;4.479166667;3
5;low;1;5;mixed;1.979166667;3
5;low;1;6;mixed;1.979166667;3
5;low;2;1;mixed;-9.375;3
5;low;2;2;mixed;0.625;3
5;low;2;3;mixed;-6.875;3
5;low;2;4;mixed;-4.375;3
5;low;2;5;mixed;5.625;3
5;low;2;6;mixed;-9.375;3
6;high;1;1;mixed;19.96527778;4
6;high;1;2;mixed;18.71527778;4
6;high;1;3;mixed;17.46527778;4
6;high;1;4;mixed;21.21527778;4
6;high;1;5;mixed;26.21527778;4
6;high;1;6;mixed;33.71527778;4
6;high;2;1;mixed;17.98611111;4
6;high;2;2;mixed;10.48611111;4
6;high;2;3;mixed;11.73611111;4
6;high;2;4;mixed;12.98611111;4
6;high;2;5;mixed;5.486111111;4
6;high;2;6;mixed;0.486111111;4
6;low;1;1;mixed;24.96527778;4
6;low;1;2;mixed;19.96527778;4
6;low;1;3;mixed;27.46527778;4
6;low;1;4;mixed;29.96527778;4
6;low;1;5;mixed;37.46527778;4
6;low;1;6;mixed;37.46527778;4
6;low;2;1;mixed;19.23611111;4
6;low;2;2;mixed;14.23611111;4
6;low;2;3;mixed;24.23611111;4
6;low;2;4;mixed;6.736111111;4
6;low;2;5;mixed;24.23611111;4
6;low;2;6;mixed;9.236111111;4
7;high;1;1;mixed;-2.916666667;5
7;high;1;2;mixed;-15.41666667;5
7;high;1;3;mixed;-12.91666667;5
7;high;1;4;mixed;-10.41666667;5
7;high;1;5;mixed;-5.416666667;5
7;high;1;6;mixed;-5.416666667;5
7;high;2;1;mixed;-6.909722222;5
7;high;2;2;mixed;-5.659722222;5
7;high;2;3;mixed;-10.65972222;5
7;high;2;4;mixed;-5.659722222;5
7;high;2;5;mixed;-1.909722222;5
7;high;2;6;mixed;-6.909722222;5
7;low;1;1;mixed;0.833333333;5
7;low;1;2;mixed;5.833333333;5
7;low;1;3;mixed;-4.166666667;5
7;low;1;4;mixed;-6.666666667;5
7;low;1;5;mixed;-4.166666667;5
7;low;1;6;mixed;0.833333333;5
7;low;2;1;mixed;-10.65972222;5
7;low;2;2;mixed;-8.159722222;5
7;low;2;3;mixed;-10.65972222;5
7;low;2;4;mixed;-3.159722222;5
7;low;2;5;mixed;-5.659722222;5
7;low;2;6;mixed;-13.15972222;5
9;high;1;1;mixed;-5.590277778;6
9;high;1;2;mixed;-11.84027778;6
9;high;1;3;mixed;-11.84027778;6
9;high;1;4;mixed;-6.840277778;6
9;high;1;5;mixed;-15.59027778;6
9;high;1;6;mixed;-13.09027778;6
9;high;2;1;mixed;-8.541666667;6
9;high;2;2;mixed;-13.54166667;6
9;high;2;3;mixed;-6.041666667;6
9;high;2;4;mixed;-12.29166667;6
9;high;2;5;mixed;-9.791666667;6
9;high;2;6;mixed;-6.041666667;6
9;low;1;1;mixed;5.659722222;6
9;low;1;2;mixed;-1.840277778;6
9;low;1;3;mixed;-14.34027778;6
9;low;1;4;mixed;-4.340277778;6
9;low;1;5;mixed;-6.840277778;6
9;low;1;6;mixed;-9.340277778;6
9;low;2;1;mixed;-8.541666667;6
9;low;2;2;mixed;-6.041666667;6
9;low;2;3;mixed;-6.041666667;6
9;low;2;4;mixed;-3.541666667;6
9;low;2;5;mixed;-1.041666667;6
9;low;2;6;mixed;-8.541666667;6
10;high;1;1;mixed;23.125;7
10;high;1;2;mixed;18.125;7
10;high;1;3;mixed;6.875;7
10;high;1;4;mixed;9.375;7
10;high;1;5;mixed;0.625;7
10;high;1;6;mixed;4.375;7
10;high;2;1;mixed;-0.972222222;7
10;high;2;2;mixed;0.277777778;7
10;high;2;3;mixed;-8.472222222;7
10;high;2;4;mixed;1.527777778;7
10;high;2;5;mixed;-3.472222222;7
10;high;2;6;mixed;-2.222222222;7
10;low;1;1;mixed;33.125;7
10;low;1;2;mixed;23.125;7
10;low;1;3;mixed;25.625;7
10;low;1;4;mixed;15.625;7
10;low;1;5;mixed;5.625;7
10;low;1;6;mixed;18.125;7
10;low;2;1;mixed;4.027777778;7
10;low;2;2;mixed;11.52777778;7
10;low;2;3;mixed;9.027777778;7
10;low;2;4;mixed;4.027777778;7
10;low;2;5;mixed;9.027777778;7
10;low;2;6;mixed;-3.472222222;7
11;high;1;1;mixed;-15.03472222;8
11;high;1;2;mixed;-13.78472222;8
11;high;1;3;mixed;-8.784722222;8
11;high;1;4;mixed;-17.53472222;8
11;high;1;5;mixed;-13.78472222;8
11;high;1;6;mixed;-13.78472222;8
11;high;2;1;mixed;-13.40277778;8
11;high;2;2;mixed;-13.40277778;8
11;high;2;3;mixed;-13.40277778;8
11;high;2;4;mixed;-14.65277778;8
11;high;2;5;mixed;-13.40277778;8
11;high;2;6;mixed;-13.40277778;8
11;low;1;1;mixed;-12.53472222;8
11;low;1;2;mixed;-12.53472222;8
11;low;1;3;mixed;-15.03472222;8
11;low;1;4;mixed;-17.53472222;8
11;low;1;5;mixed;-12.53472222;8
11;low;1;6;mixed;-12.53472222;8
11;low;2;1;mixed;-12.15277778;8
11;low;2;2;mixed;-7.152777778;8
11;low;2;3;mixed;-12.15277778;8
11;low;2;4;mixed;-12.15277778;8
11;low;2;5;mixed;-14.65277778;8
11;low;2;6;mixed;-12.15277778;8
12;high;1;1;mixed;12.91666667;9
12;high;1;2;mixed;10.41666667;9
12;high;1;3;mixed;-7.083333333;9
12;high;1;4;mixed;-2.083333333;9
12;high;1;5;mixed;-3.333333333;9
12;high;1;6;mixed;-3.333333333;9
12;high;2;1;mixed;16.94444444;9
12;high;2;2;mixed;25.69444444;9
12;high;2;3;mixed;9.444444444;9
12;high;2;4;mixed;13.19444444;9
12;high;2;5;mixed;14.44444444;9
12;high;2;6;mixed;14.44444444;9
12;low;1;1;mixed;19.16666667;9
12;low;1;2;mixed;41.66666667;9
12;low;1;3;mixed;24.16666667;9
12;low;1;4;mixed;19.16666667;9
12;low;1;5;mixed;24.16666667;9
12;low;1;6;mixed;21.66666667;9
12;low;2;1;mixed;19.44444444;9
12;low;2;2;mixed;41.94444444;9
12;low;2;3;mixed;26.94444444;9
12;low;2;4;mixed;36.94444444;9
12;low;2;5;mixed;34.44444444;9
12;low;2;6;mixed;11.94444444;9
13;high;1;1;mixed;0.173611111;10
13;high;1;2;mixed;1.423611111;10
13;high;1;3;mixed;1.423611111;10
13;high;1;4;mixed;-2.326388889;10
13;high;1;5;mixed;-7.326388889;10
13;high;1;6;mixed;-6.076388889;10
13;high;2;1;mixed;-5.729166667;10
13;high;2;2;mixed;-10.72916667;10
13;high;2;3;mixed;-9.479166667;10
13;high;2;4;mixed;-10.72916667;10
13;high;2;5;mixed;-10.72916667;10
13;high;2;6;mixed;-9.479166667;10
13;low;1;1;mixed;-12.32638889;10
13;low;1;2;mixed;-4.826388889;10
13;low;1;3;mixed;-4.826388889;10
13;low;1;4;mixed;-4.826388889;10
13;low;1;5;mixed;-9.826388889;10
13;low;1;6;mixed;-7.326388889;10
13;low;2;1;mixed;-1.979166667;10
13;low;2;2;mixed;0.520833333;10
13;low;2;3;mixed;0.520833333;10
13;low;2;4;mixed;-6.979166667;10
13;low;2;5;mixed;-14.47916667;10
13;low;2;6;mixed;-9.479166667;10
14;high;1;1;mixed;10.90277778;11
14;high;1;2;mixed;-6.597222222;11
14;high;1;3;mixed;-5.347222222;11
14;high;1;4;mixed;-0.347222222;11
14;high;1;5;mixed;-4.097222222;11
14;high;1;6;mixed;-0.347222222;11
14;high;2;1;mixed;-10.48611111;11
14;high;2;2;mixed;-5.486111111;11
14;high;2;3;mixed;-6.736111111;11
14;high;2;4;mixed;-15.48611111;11
14;high;2;5;mixed;-16.73611111;11
14;high;2;6;mixed;-12.98611111;11
14;low;1;1;mixed;-6.597222222;11
14;low;1;2;mixed;0.902777778;11
14;low;1;3;mixed;3.402777778;11
14;low;1;4;mixed;-1.597222222;11
14;low;1;5;mixed;-4.097222222;11
14;low;1;6;mixed;5.902777778;11
14;low;2;1;mixed;4.513888889;11
14;low;2;2;mixed;7.013888889;11
14;low;2;3;mixed;-7.986111111;11
14;low;2;4;mixed;-0.486111111;11
14;low;2;5;mixed;-10.48611111;11
14;low;2;6;mixed;2.013888889;11
16;high;1;1;mixed;-7.118055556;12
16;high;1;2;mixed;-5.868055556;12
16;high;1;3;mixed;-4.618055556;12
16;high;1;4;mixed;-9.618055556;12
16;high;1;5;mixed;-13.36805556;12
16;high;1;6;mixed;-9.618055556;12
16;high;2;1;mixed;-6.25;12
16;high;2;2;mixed;-1.25;12
16;high;2;3;mixed;5;12
16;high;2;4;mixed;-6.25;12
16;high;2;5;mixed;2.5;12
16;high;2;6;mixed;-5;12
16;low;1;1;mixed;5.381944444;12
16;low;1;2;mixed;20.38194444;12
16;low;1;3;mixed;2.881944444;12
16;low;1;4;mixed;0.381944444;12
16;low;1;5;mixed;-7.118055556;12
16;low;1;6;mixed;-4.618055556;12
16;low;2;1;mixed;-7.5;12
16;low;2;2;mixed;-5;12
16;low;2;3;mixed;-2.5;12
16;low;2;4;mixed;-5;12
16;low;2;5;mixed;-15;12
16;low;2;6;mixed;-5;12
17;high;1;1;mixed;0.694444444;13
17;high;1;2;mixed;0.694444444;13
17;high;1;3;mixed;3.194444444;13
17;high;1;4;mixed;-4.305555556;13
17;high;1;5;mixed;-4.305555556;13
17;high;1;6;mixed;-1.805555556;13
17;high;2;1;mixed;9.583333333;13
17;high;2;2;mixed;4.583333333;13
17;high;2;3;mixed;-7.916666667;13
17;high;2;4;mixed;-0.416666667;13
17;high;2;5;mixed;-7.916666667;13
17;high;2;6;mixed;2.083333333;13
17;low;1;1;mixed;20.69444444;13
17;low;1;2;mixed;3.194444444;13
17;low;1;3;mixed;0.694444444;13
17;low;1;4;mixed;3.194444444;13
17;low;1;5;mixed;3.194444444;13
17;low;1;6;mixed;5.694444444;13
17;low;2;1;mixed;8.333333333;13
17;low;2;2;mixed;8.333333333;13
17;low;2;3;mixed;15.83333333;13
17;low;2;4;mixed;3.333333333;13
17;low;2;5;mixed;10.83333333;13
17;low;2;6;mixed;3.333333333;13
18;high;1;1;mixed;-1.736111111;14
18;high;1;2;mixed;-4.236111111;14
18;high;1;3;mixed;-10.48611111;14
18;high;1;4;mixed;-10.48611111;14
18;high;1;5;mixed;-1.736111111;14
18;high;1;6;mixed;-7.986111111;14
18;high;2;1;mixed;5.208333333;14
18;high;2;2;mixed;8.958333333;14
18;high;2;3;mixed;7.708333333;14
18;high;2;4;mixed;5.208333333;14
18;high;2;5;mixed;3.958333333;14
18;high;2;6;mixed;13.95833333;14
18;low;1;1;mixed;-1.736111111;14
18;low;1;2;mixed;-9.236111111;14
18;low;1;3;mixed;-1.736111111;14
18;low;1;4;mixed;5.763888889;14
18;low;1;5;mixed;5.763888889;14
18;low;1;6;mixed;10.76388889;14
18;low;2;1;mixed;12.70833333;14
18;low;2;2;mixed;-7.291666667;14
18;low;2;3;mixed;-7.291666667;14
18;low;2;4;mixed;12.70833333;14
18;low;2;5;mixed;-9.791666667;14
18;low;2;6;mixed;-4.791666667;14
20;high;1;1;mixed;-5.520833333;15
20;high;1;2;mixed;-10.52083333;15
20;high;1;3;mixed;-4.270833333;15
20;high;1;4;mixed;-8.020833333;15
20;high;1;5;mixed;-9.270833333;15
20;high;1;6;mixed;-9.270833333;15
20;high;2;1;mixed;-0.347222222;15
20;high;2;2;mixed;-6.597222222;15
20;high;2;3;mixed;-2.847222222;15
20;high;2;4;mixed;-1.597222222;15
20;high;2;5;mixed;3.402777778;15
20;high;2;6;mixed;-4.097222222;15
20;low;1;1;mixed;0.729166667;15
20;low;1;2;mixed;-9.270833333;15
20;low;1;3;mixed;-11.77083333;15
20;low;1;4;mixed;-6.770833333;15
20;low;1;5;mixed;-1.770833333;15
20;low;1;6;mixed;-4.270833333;15
20;low;2;1;mixed;-7.847222222;15
20;low;2;2;mixed;-0.347222222;15
20;low;2;3;mixed;-10.34722222;15
20;low;2;4;mixed;-2.847222222;15
20;low;2;5;mixed;-5.347222222;15
20;low;2;6;mixed;-5.347222222;15
21;high;1;1;mixed;21.5625;16
21;high;1;2;mixed;35.3125;16
21;high;1;3;mixed;12.8125;16
21;high;1;4;mixed;9.0625;16
21;high;1;5;mixed;-2.1875;16
21;high;1;6;mixed;2.8125;16
21;high;2;1;mixed;-7.986111111;16
21;high;2;2;mixed;-2.986111111;16
21;high;2;3;mixed;-10.48611111;16
21;high;2;4;mixed;-5.486111111;16
21;high;2;5;mixed;0.763888889;16
21;high;2;6;mixed;-2.986111111;16
21;low;1;1;mixed;-4.6875;16
21;low;1;2;mixed;5.3125;16
21;low;1;3;mixed;0.3125;16
21;low;1;4;mixed;7.8125;16
21;low;1;5;mixed;7.8125;16
21;low;1;6;mixed;2.8125;16
21;low;2;1;mixed;3.263888889;16
21;low;2;2;mixed;5.763888889;16
21;low;2;3;mixed;8.263888889;16
21;low;2;4;mixed;-6.736111111;16
21;low;2;5;mixed;-1.736111111;16
21;low;2;6;mixed;-1.736111111;16
22;high;1;1;mixed;-6.805555556;17
22;high;1;2;mixed;-5.555555556;17
22;high;1;3;mixed;-13.05555556;17
22;high;1;4;mixed;-11.80555556;17
22;high;1;5;mixed;-10.55555556;17
22;high;1;6;mixed;-10.55555556;17
22;high;2;1;mixed;-9.548611111;17
22;high;2;2;mixed;-10.79861111;17
22;high;2;3;mixed;-8.298611111;17
22;high;2;4;mixed;-15.79861111;17
22;high;2;5;mixed;-10.79861111;17
22;high;2;6;mixed;-15.79861111;17
22;low;1;1;mixed;18.19444444;17
22;low;1;2;mixed;8.194444444;17
22;low;1;3;mixed;3.194444444;17
22;low;1;4;mixed;10.69444444;17
22;low;1;5;mixed;5.694444444;17
22;low;1;6;mixed;-4.305555556;17
22;low;2;1;mixed;7.951388889;17
22;low;2;2;mixed;-2.048611111;17
22;low;2;3;mixed;2.951388889;17
22;low;2;4;mixed;2.951388889;17
22;low;2;5;mixed;0.451388889;17
22;low;2;6;mixed;-4.548611111;17
23;high;1;1;mixed;19.47916667;18
23;high;1;2;mixed;1.979166667;18
23;high;1;3;mixed;-5.520833333;18
23;high;1;4;mixed;4.479166667;18
23;high;1;5;mixed;-0.520833333;18
23;high;1;6;mixed;-8.020833333;18
23;high;2;1;mixed;-18.47222222;18
23;high;2;2;mixed;-15.97222222;18
23;high;2;3;mixed;-17.22222222;18
23;high;2;4;mixed;-17.22222222;18
23;high;2;5;mixed;-10.97222222;18
23;high;2;6;mixed;-4.722222222;18
23;low;1;1;mixed;-9.270833333;18
23;low;1;2;mixed;-1.770833333;18
23;low;1;3;mixed;-6.770833333;18
23;low;1;4;mixed;-4.270833333;18
23;low;1;5;mixed;-11.77083333;18
23;low;1;6;mixed;-9.270833333;18
23;low;2;1;mixed;-15.97222222;18
23;low;2;2;mixed;-15.97222222;18
23;low;2;3;mixed;-15.97222222;18
23;low;2;4;mixed;-15.97222222;18
23;low;2;5;mixed;-8.472222222;18
23;low;2;6;mixed;-8.472222222;18
1;high;1;1;gray;-0.277777778;19
1;high;1;2;gray;-4.027777778;19
1;high;1;3;gray;-2.777777778;19
1;high;1;4;gray;-0.277777778;19
1;high;1;5;gray;-4.027777778;19
1;high;1;6;gray;0.972222222;19
1;high;2;1;gray;-5.486111111;19
1;high;2;2;gray;-2.986111111;19
1;high;2;3;gray;-1.736111111;19
1;high;2;4;gray;-4.236111111;19
1;high;2;5;gray;-1.736111111;19
1;high;2;6;gray;-2.986111111;19
1;low;1;1;gray;-5.277777778;19
1;low;1;2;gray;-0.277777778;19
1;low;1;3;gray;2.222222222;19
1;low;1;4;gray;2.222222222;19
1;low;1;5;gray;-0.277777778;19
1;low;1;6;gray;2.222222222;19
1;low;2;1;gray;-5.486111111;19
1;low;2;2;gray;-2.986111111;19
1;low;2;3;gray;2.013888889;19
1;low;2;4;gray;-0.486111111;19
1;low;2;5;gray;-2.986111111;19
1;low;2;6;gray;4.513888889;19
2;high;1;1;gray;13.85416667;20
2;high;1;2;gray;22.60416667;20
2;high;1;3;gray;35.10416667;20
2;high;1;4;gray;37.60416667;20
2;high;1;5;gray;-1.145833333;20
2;high;1;6;gray;12.60416667;20
2;high;2;1;gray;-7.881944444;20
2;high;2;2;gray;-10.38194444;20
2;high;2;3;gray;-7.881944444;20
2;high;2;4;gray;-9.131944444;20
2;high;2;5;gray;-11.63194444;20
2;high;2;6;gray;-5.381944444;20
2;low;1;1;gray;6.354166667;20
2;low;1;2;gray;-6.145833333;20
2;low;1;3;gray;1.354166667;20
2;low;1;4;gray;-3.645833333;20
2;low;1;5;gray;-6.145833333;20
2;low;1;6;gray;-1.145833333;20
2;low;2;1;gray;4.618055556;20
2;low;2;2;gray;-0.381944444;20
2;low;2;3;gray;-10.38194444;20
2;low;2;4;gray;2.118055556;20
2;low;2;5;gray;-5.381944444;20
2;low;2;6;gray;2.118055556;20
3;high;1;1;gray;2.916666667;21
3;high;1;2;gray;0.416666667;21
3;high;1;3;gray;-4.583333333;21
3;high;1;4;gray;-3.333333333;21
3;high;1;5;gray;-0.833333333;21
3;high;1;6;gray;0.416666667;21
3;high;2;1;gray;12.98611111;21
3;high;2;2;gray;2.986111111;21
3;high;2;3;gray;6.736111111;21
3;high;2;4;gray;7.986111111;21
3;high;2;5;gray;7.986111111;21
3;high;2;6;gray;0.486111111;21
3;low;1;1;gray;21.66666667;21
3;low;1;2;gray;11.66666667;21
3;low;1;3;gray;9.166666667;21
3;low;1;4;gray;4.166666667;21
3;low;1;5;gray;4.166666667;21
3;low;1;6;gray;1.666666667;21
3;low;2;1;gray;5.486111111;21
3;low;2;2;gray;7.986111111;21
3;low;2;3;gray;-2.013888889;21
3;low;2;4;gray;10.48611111;21
3;low;2;5;gray;-2.013888889;21
3;low;2;6;gray;0.486111111;21
4;high;1;1;gray;-3.993055556;22
4;high;1;2;gray;-1.493055556;22
4;high;1;3;gray;-0.243055556;22
4;high;1;4;gray;2.256944444;22
4;high;1;5;gray;3.506944444;22
4;high;1;6;gray;-2.743055556;22
4;high;2;1;gray;0.520833333;22
4;high;2;2;gray;-1.979166667;22
4;high;2;3;gray;-0.729166667;22
4;high;2;4;gray;3.020833333;22
4;high;2;5;gray;3.020833333;22
4;high;2;6;gray;-4.479166667;22
4;low;1;1;gray;-5.243055556;22
4;low;1;2;gray;-0.243055556;22
4;low;1;3;gray;-2.743055556;22
4;low;1;4;gray;-5.243055556;22
4;low;1;5;gray;2.256944444;22
4;low;1;6;gray;-2.743055556;22
4;low;2;1;gray;-6.979166667;22
4;low;2;2;gray;-4.479166667;22
4;low;2;3;gray;-9.479166667;22
4;low;2;4;gray;-4.479166667;22
4;low;2;5;gray;-6.979166667;22
4;low;2;6;gray;-1.979166667;22
5;high;1;1;gray;-5.277777778;23
5;high;1;2;gray;-12.77777778;23
5;high;1;3;gray;-9.027777778;23
5;high;1;4;gray;-6.527777778;23
5;high;1;5;gray;-11.52777778;23
5;high;1;6;gray;-11.52777778;23
5;high;2;1;gray;-5.520833333;23
5;high;2;2;gray;-6.770833333;23
5;high;2;3;gray;-8.020833333;23
5;high;2;4;gray;-9.270833333;23
5;high;2;5;gray;-13.02083333;23
5;high;2;6;gray;-13.02083333;23
5;low;1;1;gray;15.97222222;23
5;low;1;2;gray;-6.527777778;23
5;low;1;3;gray;-4.027777778;23
5;low;1;4;gray;-6.527777778;23
5;low;1;5;gray;-9.027777778;23
5;low;1;6;gray;-4.027777778;23
5;low;2;1;gray;-5.520833333;23
5;low;2;2;gray;-5.520833333;23
5;low;2;3;gray;-8.020833333;23
5;low;2;4;gray;-8.020833333;23
5;low;2;5;gray;-10.52083333;23
5;low;2;6;gray;-8.020833333;23
6;high;1;1;gray;2.638888889;24
6;high;1;2;gray;11.38888889;24
6;high;1;3;gray;-6.111111111;24
6;high;1;4;gray;-1.111111111;24
6;high;1;5;gray;-1.111111111;24
6;high;1;6;gray;0.138888889;24
6;high;2;1;gray;-1.5625;24
6;high;2;2;gray;-1.5625;24
6;high;2;3;gray;-2.8125;24
6;high;2;4;gray;2.1875;24
6;high;2;5;gray;-2.8125;24
6;high;2;6;gray;-4.0625;24
6;low;1;1;gray;10.13888889;24
6;low;1;2;gray;12.63888889;24
6;low;1;3;gray;7.638888889;24
6;low;1;4;gray;10.13888889;24
6;low;1;5;gray;-7.361111111;24
6;low;1;6;gray;17.63888889;24
6;low;2;1;gray;5.9375;24
6;low;2;2;gray;13.4375;24
6;low;2;3;gray;5.9375;24
6;low;2;4;gray;3.4375;24
6;low;2;5;gray;8.4375;24
6;low;2;6;gray;0.9375;24
7;high;1;1;gray;1.805555556;25
7;high;1;2;gray;0.555555556;25
7;high;1;3;gray;-6.944444444;25
7;high;1;4;gray;-1.944444444;25
7;high;1;5;gray;-8.194444444;25
7;high;1;6;gray;0.555555556;25
7;high;2;1;gray;-3.611111111;25
7;high;2;2;gray;1.388888889;25
7;high;2;3;gray;-1.111111111;25
7;high;2;4;gray;-2.361111111;25
7;high;2;5;gray;5.138888889;25
7;high;2;6;gray;2.638888889;25
7;low;1;1;gray;-0.694444444;25
7;low;1;2;gray;14.30555556;25
7;low;1;3;gray;9.305555556;25
7;low;1;4;gray;1.805555556;25
7;low;1;5;gray;1.805555556;25
7;low;1;6;gray;4.305555556;25
7;low;2;1;gray;5.138888889;25
7;low;2;2;gray;2.638888889;25
7;low;2;3;gray;5.138888889;25
7;low;2;4;gray;2.638888889;25
7;low;2;5;gray;7.638888889;25
7;low;2;6;gray;0.138888889;25
8;high;1;1;gray;18.85416667;26
8;high;1;2;gray;-2.395833333;26
8;high;1;3;gray;3.854166667;26
8;high;1;4;gray;7.604166667;26
8;high;1;5;gray;-3.645833333;26
8;high;1;6;gray;-4.895833333;26
8;high;2;1;gray;-12.36111111;26
8;high;2;2;gray;-9.861111111;26
8;high;2;3;gray;-3.611111111;26
8;high;2;4;gray;-6.111111111;26
8;high;2;5;gray;-7.361111111;26
8;high;2;6;gray;-7.361111111;26
8;low;1;1;gray;18.85416667;26
8;low;1;2;gray;-1.145833333;26
8;low;1;3;gray;6.354166667;26
8;low;1;4;gray;13.85416667;26
8;low;1;5;gray;1.354166667;26
8;low;1;6;gray;11.35416667;26
8;low;2;1;gray;-1.111111111;26
8;low;2;2;gray;-1.111111111;26
8;low;2;3;gray;1.388888889;26
8;low;2;4;gray;3.888888889;26
8;low;2;5;gray;6.388888889;26
8;low;2;6;gray;3.888888889;26
9;high;1;1;gray;29.65277778;27
9;high;1;2;gray;37.15277778;27
9;high;1;3;gray;8.402777778;27
9;high;1;4;gray;4.652777778;27
9;high;1;5;gray;7.152777778;27
9;high;1;6;gray;3.402777778;27
9;high;2;1;gray;3.784722222;27
9;high;2;2;gray;-4.965277778;27
9;high;2;3;gray;-7.465277778;27
9;high;2;4;gray;-7.465277778;27
9;high;2;5;gray;-6.215277778;27
9;high;2;6;gray;-8.715277778;27
9;low;1;1;gray;19.65277778;27
9;low;1;2;gray;19.65277778;27
9;low;1;3;gray;-2.847222222;27
9;low;1;4;gray;4.652777778;27
9;low;1;5;gray;-0.347222222;27
9;low;1;6;gray;9.652777778;27
9;low;2;1;gray;-2.465277778;27
9;low;2;2;gray;7.534722222;27
